quantile,expdum1,expdum2,expdum3,expdum4,expdum5,expdum6,expdum7,expdum8,expdum9,educ1,educ2,educ3,educ4,educ5,female,married,inform,routine,face,site,decision,_cons
0.05,-3.166609,-0.4032543,-0.0889205,0,0.0733182,-0.021568,-0.0308641,0.0705307,0.0678305,-0.1650946,-0.1687514,0,-0.0167933,-0.072697,-0.0827944,0.087769,-0.0009858,0.1350005,0.0319471,-0.1539163,0.06221,46.14693
0.1,-1.424827,-0.2702421,-0.0239163,0,0.047649,0.0027249,0.00106,0.0397072,0.0233078,-0.0801447,-0.0628231,0,0.0181034,-0.0204856,-0.1420943,0.0426107,0.0750378,0.0462384,0.0336385,-0.0430642,0.0347299,21.2225
0.15,-1.043274,-0.2648979,-0.0505598,0,0.0403492,-0.0107374,-0.0101226,0.0313443,0.0202421,-0.09049,-0.045873,0,0.0136078,-0.0148852,-0.1553908,0.0424575,0.0976073,0.0140645,0.0357746,-0.0229062,0.0303843,17.54501
0.2,-0.842077,-0.2757936,-0.0482931,0,0.0302945,-0.0281402,-0.0104702,0.0172192,0.0143947,-0.1248697,-0.0354631,0,0.0482429,-0.0040279,-0.1657435,0.0594431,0.1055909,0.002179,0.0326451,0.0128982,0.059621,15.70986
0.25,-0.6940614,-0.2583155,-0.0278718,0,0.0593906,-0.0064388,0.0090756,0.0401645,0.0453523,-0.1038593,-0.0426461,0,0.0652252,0.0148894,-0.1813027,0.0705396,0.1316197,-0.0272172,0.0273551,0.0316187,0.0672443,15.07283
0.3,-0.6415104,-0.287243,-0.0816362,0,0.0431624,0.0003374,0.0023929,0.0271534,0.0254541,-0.1290325,-0.0512347,0,0.0582685,0.0246935,-0.1843669,0.0557158,0.1554941,-0.0409123,0.0285762,0.0486858,0.0767847,14.87109
0.35,-0.5943368,-0.3102233,-0.0816381,0,0.059989,0.013729,-0.0022316,0.032538,0.0155519,-0.1446517,-0.067649,0,0.0704425,0.0465734,-0.18684,0.0599279,0.1690484,-0.0524035,0.0277599,0.073651,0.1030697,14.86601
0.4,-0.5244624,-0.3386881,-0.0877703,0,0.0453541,0.0104795,0.0062253,0.0666642,-0.0129291,-0.1621402,-0.0638781,0,0.1127975,0.0677554,-0.2096661,0.0616753,0.1709808,-0.0573536,0.0291116,0.0847856,0.1095829,14.93908
0.45,-0.4605538,-0.3417881,-0.1109895,0,0.0551172,0.0211453,0.0204633,0.0741865,0.0012419,-0.1601168,-0.0661937,0,0.1166373,0.1028745,-0.2208721,0.0730266,0.173261,-0.0434105,0.0322829,0.0833174,0.1344759,15.04391
0.5,-0.3899234,-0.3290914,-0.1362884,0,0.0674319,0.0480431,0.042352,0.0731635,0.0171879,-0.1557575,-0.0541014,0,0.1379044,0.1276294,-0.2172621,0.0768276,0.1632917,-0.0485957,0.0166357,0.0948908,0.1606321,15.14996
0.55,-0.2919506,-0.2733324,-0.1269659,0,0.109534,0.088179,0.0848628,0.0938394,0.0649275,-0.173159,-0.0607955,0,0.1677224,0.186176,-0.2018912,0.0944117,0.1490354,-0.0535097,0.0096529,0.1036622,0.1733314,15.52378
0.6,-0.2459114,-0.2711489,-0.1452327,0,0.1153027,0.092466,0.0979499,0.0888199,0.0966148,-0.1732328,-0.058296,0,0.1809402,0.236172,-0.2201519,0.0847274,0.1256213,-0.0458061,-0.0016654,0.0842411,0.1889035,16.03007
0.65,-0.1533965,-0.2144124,-0.1220287,0,0.1543916,0.1301608,0.1316303,0.1418515,0.1504376,-0.1657858,-0.051843,0,0.1919882,0.2669065,-0.2157388,0.0978425,0.1094473,-0.0401048,-0.0246011,0.0683207,0.2125185,16.5287
0.7,-0.1139474,-0.1770195,-0.1136305,0,0.1714448,0.1449697,0.1323501,0.158636,0.1578166,-0.1567129,-0.0425041,0,0.1847572,0.3239741,-0.2162439,0.0842055,0.0762904,-0.0500477,-0.0517671,0.054678,0.2220628,17.13099
0.75,-0.0701321,-0.1296112,-0.0922555,0,0.1491968,0.1493348,0.1279863,0.1317912,0.1333082,-0.1454046,-0.039878,0,0.153431,0.3244249,-0.2304168,0.0932788,0.0430105,-0.0478691,-0.0962433,0.0282273,0.2468493,17.87028
0.8,-0.0545806,-0.1181872,-0.0938426,0,0.1441683,0.1608878,0.1431267,0.1425233,0.1285534,-0.1301385,-0.0489154,0,0.1466443,0.3657049,-0.2705912,0.0982819,0.0324894,-0.0537242,-0.1217168,0.0109339,0.2672795,20.22938
0.85,-0.0063824,-0.0866846,-0.0948744,0,0.1630871,0.1752445,0.1657073,0.173707,0.1528004,-0.1395307,-0.0566161,0,0.1346654,0.400675,-0.2905451,0.107035,0.0130358,-0.0544931,-0.1350779,0.0022931,0.3003697,24.19604
0.9,0.1017789,0.0149349,-0.0692059,0,0.1788559,0.2401168,0.1701516,0.2596076,0.2320043,-0.1257091,-0.0420342,0,0.188775,0.430296,-0.3077522,0.131486,-0.0122349,-0.076307,-0.180737,-0.0226314,0.3493937,31.14191
0.95,0.2500845,0.143746,0.024669,0,0.324333,0.3637764,0.3561555,0.4103896,0.320117,-0.1141504,-0.0163105,0,0.3485112,0.4813161,-0.3524802,0.1172899,-0.1054389,-0.0327773,-0.1962347,-0.0883124,0.417901,56.57997
